UNIQUE_CARRIER_ENTITY,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,MAIL
6673,12954,11292,0
1006,11292,14771,0
1006,14771,11292,0
1126,11423,10325,0
6081,11292,11315,0
6081,11292,12389,0
6081,11315,11292,0
6081,11503,15016,0
6081,15016,11503,0
6081,12544,11503,0
6055,10397,11292,0
6055,11292,11109,0
6035,11109,10800,0
6035,12889,11503,0
1150,10372,10800,0
1150,10800,10372,0
1150,11503,14107,0
1150,14869,11292,0
0A050,11292,11109,0
0A050,14100,11292,0
1260,10397,11292,0
1260,10397,10397,0
1260,10397,11298,39
1260,11109,11292,0
1260,11109,10397,0
1260,11122,10397,0
1260,11292,10397,0
1260,11292,11193,0
1260,11292,11433,0
1260,11292,11775,0
1260,11292,12889,0
1260,11292,14679,0
1260,11292,14869,0
1260,11292,11292,4
1260,11292,11292,0
1260,11433,11292,0
1260,13487,11292,0
1260,13851,11292,226
1260,14771,11292,0
1260,14869,11109,0
6690,10529,11292,0
6690,11109,11042,0
6690,13796,12892,0
0A875,10558,13303,0
0A875,11292,14524,0
0A875,11292,11292,282
0A875,11292,14771,0
0A875,11292,11292,0
0A875,11292,11292,0
0A875,13341,11292,0
10877,11292,11109,0
6725,11109,12896,0
6725,11233,12992,0
6725,11233,11109,0
6725,11259,11292,0
6725,11292,10423,0
6725,11292,13930,0
6725,11292,14831,0
6725,11292,10325,0
6725,11292,10325,0
6725,11292,10372,0
6725,11292,12889,0
6725,14831,11292,0
11033,11109,11292,0
1194,10325,13796,0
1194,10325,14869,0
1194,10325,11921,0
1194,10423,11563,0
1194,11066,11292,0
1194,14792,11292,0
16736,11292,13796,0
1130,10466,11292,0
1130,10747,13342,0
1130,11292,11292,0
1130,11292,10590,0
1130,11292,10590,0
1130,11563,11292,0
1130,11921,11719,0
1130,14576,13502,0
1130,15370,14288,0
6774,11292,10590,0
6774,11376,10590,0
1189,11292,14288,0
1189,14570,13796,0
6795,11292,11292,0
6795,11719,11193,0
6795,10590,11292,0
6795,10590,11109,0
6795,10590,11292,0
6795,10590,13851,0
6795,13502,11292,0
6795,14288,11292,0
6912,11840,11292,0
6912,14288,10558,0
6841,11193,11283,0
6841,11292,11292,0
6031,11109,11468,0
6031,14747,12899,0
6904,10558,12902,0
6904,11292,11292,0
6975,10325,11292,0
6975,10558,10325,0
6975,11283,11292,0
6975,11292,11711,0
6975,11292,11292,0
6975,11292,11292,0
6975,11292,12389,0
6975,11292,11292,0
6975,11292,12889,0
6975,11468,11921,0
6975,12899,11292,0
6975,12902,11298,0
6975,12902,12278,0
6932,11292,10721,0
6932,14288,12892,0
1177,11292,12992,0
6081,10558,11292,0
6081,11292,11109,0
6081,11292,11292,0
6081,12389,11292,0
6035,11921,11109,0
6035,12889,12892,0
0A050,11109,13487,266
0A050,11109,13487,0
0A050,11109,14869,0
0A050,11292,11292,0
0A050,11292,11292,0
0A050,11292,11292,0
0A050,13204,15370,54
0A050,13930,11292,266
0A050,14492,11292,521
0A050,14771,12992,460
0A050,14869,13486,0
1260,11292,15376,0
1260,11292,11292,0
1260,11292,11109,0
1260,11292,10140,0
1260,11433,10397,0
1260,13487,10423,0
1260,13487,11003,0
7041,11292,11097,0
7041,11986,11122,0
6700,11097,11298,0
6700,11109,11986,0
6700,11109,12266,0
6700,11109,12441,0
6700,11122,12992,0
6700,11278,13264,0
6700,11292,13871,0
6700,11292,13930,0
6700,11292,14489,0
6700,11292,14679,0
6700,11292,14730,0
6700,11292,14771,0
6700,11292,14771,0
6700,11292,14908,0
6700,11292,11109,0
6700,11292,12892,0
6700,11292,11292,0
6700,11292,11292,0
6700,11292,11292,0
6700,11292,11292,0
6700,11292,11292,0
6700,11292,11292,0
6700,11292,11109,0
6700,11292,11292,0
6700,11292,11292,0
6700,11292,11921,0
6700,11292,11292,0
6700,11298,11292,0
6700,11921,11109,0
6700,12266,11292,0
6700,12441,11292,0
6700,12888,11292,0
6700,12892,11292,0
6700,12992,11292,0
6700,13264,11292,0
6700,13486,10140,0
6700,13930,10620,0
6700,14057,10721,0
6700,14252,10849,0
6700,14679,11193,0
6700,14683,11433,0
6700,14794,11697,0
6700,14893,12264,0
6700,14908,12266,0
0A875,10140,12889,0
0A875,10529,13198,1040
0A875,10721,13204,1858
0A875,10849,13930,0
0A875,11292,14100,0
0A875,11292,14262,23
0A875,11292,14524,0
0A875,11292,14570,0
0A875,11292,14869,0
0A875,11292,15016,1615
0A875,11292,15016,0
0A875,11292,15370,0
0A875,11292,11292,75
0A875,11292,11292,539
0A875,11292,11292,1350
0A875,11292,11292,40
0A875,11292,11292,0
0A875,11292,11292,1976
0A875,11292,11292,0
0A875,11292,11292,0
0A875,11292,11292,0
0A875,11292,11292,1604
0A875,11292,11292,65
0A875,11292,11292,97
0A875,11292,11292,0
0A875,12264,11292,361
0A875,12266,11292,1335
0A875,12266,11292,707
0A875,13198,11292,954
0A875,13204,11292,404
0A875,14262,11292,0
0A875,14262,10140,0
0A875,14524,10713,0
0A875,14570,11433,0
0A875,14683,11986,395
0A875,14689,13342,0
0A875,14771,14057,430
0A875,14771,14100,0
0A875,14908,14570,679
0A875,15016,14635,649
0A875,15016,15370,260
0A875,15370,11292,0
6725,10994,11292,0
6725,11042,11292,0
6725,11292,11292,0
6725,11292,11292,0
6725,11292,11292,0
6725,11292,11292,0
6725,11292,11292,0
6725,11292,11292,0
6725,11292,11042,0
6725,11292,11109,0
6725,11292,11423,0
6725,11292,12278,0
6725,11433,13871,0
6725,11986,14869,0
6725,13495,11292,0
6725,14122,11292,0
6725,14570,11292,0
6725,14635,11292,0
6725,14893,11066,0
6003,10397,11433,0
6003,11109,12266,0
6003,11292,12339,0
6003,11292,13204,0
6003,11292,13204,0
6003,11292,13486,0
6003,11292,13930,0
6003,11292,13930,0
6003,12278,14107,0
6003,14730,15016,0
6003,15370,15412,0
6460,11193,11292,0
6460,11292,11292,0
6460,11292,11292,0
6460,11292,11292,0
6460,11292,11292,0
6460,11292,11292,0
6460,11292,11292,0
6460,11292,11292,0
6460,11292,11292,0
6460,11292,11292,0
6460,11292,11292,0
6460,11292,11298,0
6460,11292,12339,0
6460,11433,13198,0
6460,12264,13495,0
6460,12266,14869,0
6460,12339,15376,0
6460,13204,14869,0
6460,13486,11292,0
6460,13930,11292,0
6460,14107,11921,0
6460,15016,11292,0
6460,15304,11433,0
6460,15412,11292,0
6200,11292,11413,0
